account,text,link,timestamp
@USGunIncidents,"Baltimore, Maryland - Killed: 1, Injured: 0  https://t.co/5roTAVAkS4",http://twitter.com/USGunIncidents/status/788907655146471424,"October 19, 2016 at 08:00PM"
@USGunIncidents,"Weaverville, North Carolina - Killed: 0, Injured: 2  https://t.co/RvYmIUwIx6",http://twitter.com/USGunIncidents/status/788911681174986752,"October 19, 2016 at 08:16PM"
@USGunIncidents,"Richmond, Virginia - Killed: 0, Injured: 0  https://t.co/QtoRGe6pca",http://twitter.com/USGunIncidents/status/788924012831338496,"October 19, 2016 at 09:05PM"
@USGunIncidents,"Brooklyn, New York - Killed: 0, Injured: 0  https://t.co/iTmSkkO4Gn",http://twitter.com/USGunIncidents/status/788934834425061376,"October 19, 2016 at 09:48PM"
@USGunIncidents,"Huntsville, Alabama - Killed: 0, Injured: 1  https://t.co/0AUhzbtMhx",http://twitter.com/USGunIncidents/status/788937602422415360,"October 19, 2016 at 09:59PM"
@USGunIncidents,"Gerber, California - Killed: 1, Injured: 0  https://t.co/hbnYXxPdzB",http://twitter.com/USGunIncidents/status/788939112455761920,"October 19, 2016 at 10:05PM"
@USGunIncidents,"Philadelphia, Pennsylvania - Killed: 0, Injured: 1  https://t.co/VZY7HXexLe",http://twitter.com/USGunIncidents/status/788956731904757760,"October 19, 2016 at 11:15PM"
@USGunIncidents,"Amarillo, Texas - Killed: 0, Injured: 0  https://t.co/RjY3n4BOMO",http://twitter.com/USGunIncidents/status/789134149638623232,"October 20, 2016 at 11:00AM"
@USGunIncidents,"Washington, District of Columbia - Killed: 0, Injured: 1  https://t.co/Uj4WuUi8OD",http://twitter.com/USGunIncidents/status/789165858790580224,"October 20, 2016 at 01:06PM"
@USGunIncidents,"Chicago, Illinois - Killed: 1, Injured: 0  https://t.co/pcyipYSooX",http://twitter.com/USGunIncidents/status/789183228133318656,"October 20, 2016 at 02:15PM"
@USGunIncidents,"Jacksonville, Florida - Killed: 1, Injured: 0  https://t.co/UBT9mLFEc4",http://twitter.com/USGunIncidents/status/789196813714661377,"October 20, 2016 at 03:09PM"
@USGunIncidents,"Lexington, Kentucky - Killed: 0, Injured: 0  https://t.co/aL0nNWJ5Rf",http://twitter.com/USGunIncidents/status/789208646492258305,"October 20, 2016 at 03:56PM"
@USGunIncidents,"Institute, West Virginia - Killed: 0, Injured: 1  https://t.co/DEYFRRoX4V",http://twitter.com/USGunIncidents/status/789217202616602624,"October 20, 2016 at 04:30PM"
@USGunIncidents,"Jacksonville, Florida - Killed: 1, Injured: 0  https://t.co/3hcvrRTeyl",http://twitter.com/USGunIncidents/status/789232549776195584,"October 20, 2016 at 05:31PM"
@USGunIncidents,"Randleman, North Carolina - Killed: 0, Injured: 1  https://t.co/5sRCT2nttj",http://twitter.com/USGunIncidents/status/789245887293825028,"October 20, 2016 at 06:24PM"
@USGunIncidents,"Indianapolis, Indiana - Killed: 0, Injured: 0  https://t.co/erSYEXWOdH",http://twitter.com/USGunIncidents/status/789253437447933952,"October 20, 2016 at 06:54PM"
@USGunIncidents,"Charlotte, North Carolina - Killed: 1, Injured: 0  https://t.co/M0rt0aTGbJ",http://twitter.com/USGunIncidents/status/789263255516610560,"October 20, 2016 at 07:33PM"
@USGunIncidents,"Raleigh, North Carolina - Killed: 0, Injured: 1  https://t.co/hMn6veAxsy",http://twitter.com/USGunIncidents/status/789281371281850368,"October 20, 2016 at 08:45PM"
@USGunIncidents,"Denver (Federal Heights), Colorado - Killed: 0, Injured: 1  https://t.co/imJAMNZrLZ",http://twitter.com/USGunIncidents/status/789297729977606144,"October 20, 2016 at 09:50PM"
@USGunIncidents,"Millville, New Jersey - Killed: 0, Injured: 1  https://t.co/FZ4dK5Fm5w",http://twitter.com/USGunIncidents/status/789315345865728000,"October 20, 2016 at 11:00PM"
@USGunIncidents,"Charleston, South Carolina - Killed: 0, Injured: 1  https://t.co/3ydzMYWJK8",http://twitter.com/USGunIncidents/status/789534542260531200,"October 21, 2016 at 01:31PM"
@USGunIncidents,"Oakland, California - Killed: 0, Injured: 1  https://t.co/FTRDdEpGks",http://twitter.com/USGunIncidents/status/789550649172164609,"October 21, 2016 at 02:35PM"
@USGunIncidents,"Bentley (Prospect), Louisiana - Killed: 0, Injured: 0  https://t.co/LzjgPGRSYB",http://twitter.com/USGunIncidents/status/789568269019742209,"October 21, 2016 at 03:45PM"
@USGunIncidents,"Chattanooga, Tennessee - Killed: 0, Injured: 2  https://t.co/cEKSZg8hRp",http://twitter.com/USGunIncidents/status/789602240130678784,"October 21, 2016 at 06:00PM"
@USGunIncidents,"Portsmouth, Virginia - Killed: 1, Injured: 0  https://t.co/I6MQ0iFc9g",http://twitter.com/USGunIncidents/status/789617345597759489,"October 21, 2016 at 07:00PM"
@USGunIncidents,"Roanoke, Virginia - Killed: 0, Injured: 1  https://t.co/bUO0pYS162",http://twitter.com/USGunIncidents/status/789628412432441344,"October 21, 2016 at 07:44PM"
@USGunIncidents,"Mc Kees Rocks (Mckees Rocks), Pennsylvania - Killed: 0, Injured: 2  https://t.co/GbCJJ6mTeh",http://twitter.com/USGunIncidents/status/789631180798849024,"October 21, 2016 at 07:55PM"
@USGunIncidents,"Columbus, Ohio - Killed: 0, Injured: 1  https://t.co/CPu4qDFTNr",http://twitter.com/USGunIncidents/status/789647538676727808,"October 21, 2016 at 09:00PM"
@USGunIncidents,"Concord, North Carolina - Killed: 0, Injured: 0  https://t.co/h9SjltZlCq",http://twitter.com/USGunIncidents/status/789648294196707332,"October 21, 2016 at 09:03PM"
@USGunIncidents,"Tulsa, Oklahoma - Killed: 1, Injured: 0  https://t.co/mSkKb2LQ2p",http://twitter.com/USGunIncidents/status/789673967669940224,"October 21, 2016 at 10:45PM"
@USGunIncidents,"Framingham, Massachusetts - Killed: 0, Injured: 0  https://t.co/6DnROgNlGY",http://twitter.com/USGunIncidents/status/789674717674369024,"October 21, 2016 at 10:48PM"
@USGunIncidents,"Greenfield, Massachusetts - Killed: 0, Injured: 0  https://t.co/KflWpg2y4Y",http://twitter.com/USGunIncidents/status/789690321051549701,"October 21, 2016 at 11:50PM"
@USGunIncidents,"Chicago, Illinois - Killed: 0, Injured: 1  https://t.co/BUJrSQrVjQ",http://twitter.com/USGunIncidents/status/789840062456496128,"October 22, 2016 at 09:45AM"
@USGunIncidents,"Richmond, Virginia - Killed: 1, Injured: 0  https://t.co/oz1NpWKWJ2",http://twitter.com/USGunIncidents/status/789877813046341634,"October 22, 2016 at 12:15PM"
@USGunIncidents,"Gastonia, North Carolina - Killed: 1, Injured: 0  https://t.co/TKWyb1hc7Q",http://twitter.com/USGunIncidents/status/789896686822952960,"October 22, 2016 at 01:30PM"
@USGunIncidents,"Chicago (Roseland), Illinois - Killed: 0, Injured: 1  https://t.co/QDKbco0YwL",http://twitter.com/USGunIncidents/status/789903226455859201,"October 22, 2016 at 01:56PM"
@USGunIncidents,"Chicago, Illinois - Killed: 1, Injured: 0  https://t.co/Mzwjph6hPU",http://twitter.com/USGunIncidents/status/789906246359015426,"October 22, 2016 at 02:08PM"
@USGunIncidents,"Americus, Georgia - Killed: 0, Injured: 1  https://t.co/z3zZlNlNAN",http://twitter.com/USGunIncidents/status/789934437043699712,"October 22, 2016 at 04:00PM"
@USGunIncidents,"Louisville, Kentucky - Killed: 0, Injured: 2  https://t.co/QUI7iJCfoR",http://twitter.com/USGunIncidents/status/789953310581293056,"October 22, 2016 at 05:15PM"
@USGunIncidents,"Louisville, Kentucky - Killed: 0, Injured: 2  https://t.co/GsNs9vFzD5",http://twitter.com/USGunIncidents/status/789972185423183872,"October 22, 2016 at 06:30PM"
@USGunIncidents,"Fort Wayne, Indiana - Killed: 1, Injured: 0",http://twitter.com/USGunIncidents/status/789987784828260360,"October 22, 2016 at 07:32PM"
@USGunIncidents,"Cincinnati (Price Hill), Ohio - Killed: 0, Injured: 1  https://t.co/BmL2oueEEj",http://twitter.com/USGunIncidents/status/790003890141954048,"October 22, 2016 at 08:36PM"
@USGunIncidents,"Philadelphia, Pennsylvania - Killed: 0, Injured: 1  https://t.co/X3y3zJr4de",http://twitter.com/USGunIncidents/status/790021259396583424,"October 22, 2016 at 09:45PM"
@USGunIncidents,"Columbus, Ohio - Killed: 0, Injured: 1  https://t.co/jGxy0dzkla",http://twitter.com/USGunIncidents/status/790176031034445824,"October 23, 2016 at 08:00AM"
@USGunIncidents,"Caledonia, Michigan - Killed: 0, Injured: 1  https://t.co/P70G8I0v2W",http://twitter.com/USGunIncidents/status/790244231524782081,"October 23, 2016 at 12:31PM"
@USGunIncidents,"Flint, Michigan - Killed: 1, Injured: 1  https://t.co/gfzLPoBUr0",http://twitter.com/USGunIncidents/status/790262850929524739,"October 23, 2016 at 01:45PM"
@USGunIncidents,"Tulsa, Oklahoma - Killed: 1, Injured: 0  https://t.co/yfYECTutbX",http://twitter.com/USGunIncidents/status/790264863318736896,"October 23, 2016 at 01:53PM"
